DistrictId,LocationId,LocalityId,Metric,Rate,Unknown1,Unknown2,Zoning,AveragePrice,LowIncome,MiddleIncome,HighIncome
2,33,57,,,,,Residential,,500,600,600
2,33,58,,,,,Residential,,900,1000,1200
2,33,59,,,,,Residential,,1800,2000,2000
2,33,60,,,,,Industrial,,,,
2,33,61,,,,,Residential,,1000,1000,1000
2,33,62,,,,,Residential,,1000,1000,1000
2,33,63,,,,,Residential,,600,700,700
2,33,64,,,,,Residential,,700,750,800
2,33,65,,,,,Residential,,700,750,850
2,33,67,,,,,Residential,,700,750,850
2,33,68,,,,,Residential,,700,750,850
2,33,69,,,,,Residential,,700,750,850
2,33,70,,,,,Residential,,900,900,900
2,33,71,,,,,Residential,,700,700,700
2,33,72,,,,,Residential,,600,800,900
2,33,73,,,,,Residential,,750,850,900
2,33,74,,,,,Residential,,600,800,1000
2,33,75,,,,,Residential,,400,500,550
2,33,76,,,,,Residential,,600,600,600
2,33,77,,,,,Residential,,600,600,1000
2,33,78,,,,,Residential,,1800,2000,2000
2,33,79,,,,,Residential,,900,900,900
2,33,80,,,,,Residential,,1800,1800,1800
2,33,81,,,,,Residential,,900,900,900
2,33,82,,,,,Residential,,600,700,750
2,33,83,,,,,Residential,,800,900,900
2,33,84,,,,,Residential,,1000,1000,1000
2,33,85,,,,,Residential,,850,850,900
2,33,86,,,,,Residential,,1000,1000,1000
2,33,87,,,,,Residential,,1000,100,100
2,33,88,,,,,Residential,,600,700,700
2,33,89,,,,,Residential,,450,450,450
2,33,90,,,,,Residential,,400,400,400
2,33,91,,,,,Residential,,400,400,400
2,33,92,,,,,Residential,,800,900,900
2,33,94,,,,,Residential,,2000,2000,2000
2,33,95,,,,,Residential,,900,900,900
2,33,96,,,,,Residential,,950,950,950
2,33,97,,,,,Residential,,700,700,700
2,33,98,,,,,Residential,,800,900,1000
2,33,99,,,,,Residential,,800,900,900
2,33,100,,,,,Residential,,800,900,900
2,33,101,,,,,Residential,,800,900,900
2,33,102,,,,,Residential,,800,900,1000
2,33,103,,,,,Residential,,800,900,900
2,33,104,,,,,Residential,,1000,1000,1000
2,33,105,,,,,Residential,,1000,1500,1500
2,33,106,,,,,Residential,,1200,1200,1200
2,33,107,,,,,Industrial,,,,
2,33,108,,,,,Industrial,,,,
2,33,109,,,,,Industrial,,,,
2,33,110,,,,,Industrial,,,,
6,27,1,,,,,Residential,,250,250,280
6,27,2,,,,,Residential,,250,250,280
6,27,3,,,,,Residential,,250,250,280
6,27,4,,,,,Residential,,250,250,280
6,27,5,,,,,Residential,,250,250,280
6,27,6,,,,,Residential,,250,250,280
6,27,7,,,,,Residential,,250,250,280
6,27,8,,,,,Residential,,250,250,280
6,27,9,,,,,Residential,,250,250,280
6,27,10,,,,,Residential,,250,250,250
6,27,11,,,,,Industrial,,,,
6,27,12,,,,,Residential,,450,500,550
6,27,13,,,,,Residential,,230,250,260
6,27,14,,,,,Residential,,230,250,260
6,27,15,,,,,Residential,,230,250,260
6,27,16,,,,,Residential,,230,250,260
6,27,17,,,,,Residential,,,,
6,27,18,,,,,Residential,,230,250,260
6,27,19,,,,,Residential,,230,250,260
6,27,20,,,,,Residential,,230,250,260
6,27,21,,,,,Residential,,250,250,250
6,27,22,,,,,Residential,,250,250,250
6,27,23,,,,,Residential,,230,250,260
6,27,24,,,,,Residential,,450,450,450
6,27,25,,,,,Residential,,450,450,450
1,38,26,,,,,Residential,,,,
1,38,27,,,,,Residential,,,,
1,38,28,,,,,Residential,,,,
1,38,29,,,,,Residential,,,,
1,38,30,,,,,Residential,,,,
1,38,31,,,,,Residential,,,,
1,38,32,,,,,Residential,,,,
1,38,33,,,,,Residential,,,,
1,38,34,,,,,Residential,,,,
1,38,35,,,,,Residential,,,,
1,38,36,,,,,Residential,,,,
1,38,37,,,,,Residential,,,,
5,89,38,,,,,Residential,,100,130,160
5,89,39,,,,,Residential,,100,130,160
5,89,40,,,,,Residential,,100,130,160
5,89,41,,,,,Residential,,100,130,160
5,89,42,,,,,Residential,,100,130,160
5,89,43,,,,,Residential,,100,130,160
5,89,44,,,,,Residential,,100,130,160
5,89,45,,,,,Residential,,100,130,160
5,89,46,,,,,Residential,,100,130,160
5,89,47,,,,,Residential,,100,130,160
5,89,48,,,,,Residential,,100,130,160
8,91,49,,,,,Residential,,120,150,180
8,91,50,,,,,Residential,,120,150,180
8,91,51,,,,,Residential,,120,150,180
8,91,52,,,,,Residential,,120,150,180
8,91,53,,,,,Residential,,120,150,180
8,91,54,,,,,Residential,,120,150,180
8,91,55,,,,,Residential,,120,150,180
8,91,56,,,,,Residential,,120,150,180
4,60,,,,,,Residential,,40,40,40
7,135,,,,,,Residential,,25,25,25
9,136,,,,,,Residential,,25,25,25
3,137,,,,,,Residential,,25,25,25
5,138,,,,,,Residential,,70,70,70
7,139,,,,,,Residential,,23,23,23
10,140,,,,,,Residential,,25,25,25
4,42,,,,,,Residential,,80,80,80
10,141,,,,,,Residential,,25,25,25
5,142,,,,,,Residential,,25,25,25
5,118,,,,,,Residential,,70,70,70
3,143,,,,,,Residential,,25,25,25
7,144,,,,,,Residential,,25,25,25
10,145,,,,,,Residential,,25,25,25
6,146,,,,,,Residential,,25,25,25
5,147,,,,,,Residential,,50,50,50
5,148,,,,,,Residential,,30,30,30
9,19,,,,,,Residential,,30,30,30
9,149,,,,,,Residential,,25,25,25
9,150,,,,,,Residential,,25,25,25
4,151,,,,,,Residential,,20,20,20
4,152,,,,,,Residential,,25,25,25
5,153,,,,,,Residential,,25,25,25
5,154,,,,,,Residential,,25,25,25
3,155,,,,,,Residential,,30,30,30
5,156,,,,,,Residential,,25,25,25
6,27,,,,,,Residential,,,,
5,116,,,,,,Residential,,30,30,30
5,157,,,,,,Residential,,25,25,25
3,158,,,,,,Residential,,25,25,25
9,159,,,,,,Residential,,30,30,30
3,52,,,,,,Residential,,250,250,250
2,33,,,,,,Residential,,,,
3,160,,,,,,Residential,,30,30,30
10,161,,,,,,Residential,,25,25,25
5,162,,,,,,Residential,,25,25,25
7,163,,,,,,Residential,,25,25,25
1,38,,,,,,Residential,,,,
5,164,,,,,,Residential,,25,25,25
7,165,,,,,,Residential,,25,25,25
1,166,,,,,,Residential,,50,50,50
5,167,,,,,,Residential,,25,25,25
9,168,,,,,,Residential,,30,30,30
6,169,,,,,,Residential,,20,20,20
5,170,,,,,,Residential,,40,40,40
7,171,,,,,,Residential,,25,25,25
3,172,,,,,,Residential,,25,25,25
10,173,,,,,,Residential,,15,15,15
7,174,,,,,,Residential,,15,15,15
2,175,,,,,,Residential,,,,
5,176,,,,,,Residential,,25,25,25
10,177,,,,,,Residential,,25,25,25
9,178,,,,,,Residential,,25,25,25
8,179,,,,,,Residential,,25,25,25
5,117,,,,,,Residential,,25,25,25
10,22,,,,,,Residential,,50,50,50
9,180,,,,,,Residential,,25,25,25
7,181,,,,,,Residential,,25,25,25
3,182,,,,,,Residential,,30,30,30
7,183,,,,,,Residential,,30,30,30
8,184,,,,,,Residential,,25,25,25
8,92,,,,,,Residential,,65,65,65
5,185,,,,,,Residential,,30,30,30
4,76,,,,,,Residential,,25,25,25
3,66,,,,,,Residential,,30,30,30
10,186,,,,,,Residential,,20,20,20
10,187,,,,,,Residential,,20,20,20
3,188,,,,,,Residential,,30,30,30
10,189,,,,,,Residential,,20,20,20
4,190,,,,,,Residential,,20,20,20
7,191,,,,,,Residential,,20,20,20
5,192,,,,,,Residential,,20,20,20
5,193,,,,,,Residential,,20,20,20
10,194,,,,,,Residential,,20,20,20
10,195,,,,,,Residential,,25,25,25
7,196,,,,,,Residential,,25,25,25
3,197,,,,,,Residential,,25,25,25
5,198,,,,,,Residential,,25,25,25
9,199,,,,,,Residential,,25,25,25
3,200,,,,,,Residential,,150,150,150
10,201,,,,,,Residential,,25,25,25
1,202,,,,,,Residential,,30,30,30
3,203,,,,,,Residential,,60,60,60
5,204,,,,,,Residential,,25,25,25
3,205,,,,,,Residential,,25,25,25
5,206,,,,,,Residential,,30,30,30
5,3,,,,,,Residential,,40,40,40
5,89,,,,,,Residential,,,,
4,207,,,,,,Residential,,25,25,25
8,91,,,,,,Residential,,,,
8,124,,,,,,Residential,,25,25,25
5,25,,,,,,Residential,,75,75,75
3,208,,,,,,Residential,,40,40,40
10,87,,,,,,Residential,,30,30,30
7,209,,,,,,Residential,,25,25,25
4,210,,,,,,Residential,,25,25,25
5,211,,,,,,Residential,,25,25,25
3,212,,,,,,Residential,,25,25,25
5,213,,,,,,Residential,,25,25,25
1,40,,,,,,Residential,,35,35,35
5,214,,,,,,Residential,,30,30,30
3,215,,,,,,Residential,,25,25,25
5,216,,,,,,Residential,,25,25,25
7,120,,,,,,Residential,,25,25,25
6,217,,,,,,Residential,,25,25,25
10,218,,,,,,Residential,,20,20,20
10,219,,,,,,Residential,,30,30,30
9,220,,,,,,Residential,,30,30,30
5,221,,,,,,Residential,,25,25,25
5,222,,,,,,Residential,,20,20,20
5,223,,,,,,Residential,,25,25,25
10,224,,,,,,Residential,,20,20,20
4,225,,,,,,Residential,,20,20,20
4,226,,,,,,Residential,,25,25,25
3,227,,,,,,Residential,,25,25,25
3,228,,,,,,Residential,,25,25,25
6,229,,,,,,Residential,,20,20,20
5,230,,,,,,Residential,,20,20,20
10,231,,,,,,Residential,,20,20,20
5,232,,,,,,Residential,,25,25,25
4,54,,,,,,Residential,,150,150,150
5,96,,,,,,Residential,,60,60,60
5,233,,,,,,Residential,,25,25,25
7,123,,,,,,Residential,,20,20,20
5,234,,,,,,Residential,,25,25,25
5,235,,,,,,Residential,,25,25,25
5,236,,,,,,Residential,,25,25,25
6,237,,,,,,Residential,,40,40,40
5,238,,,,,,Residential,,25,25,25
10,239,,,,,,Residential,,20,20,20
5,240,,,,,,Residential,,50,50,50
2,43,,,,,,Residential,,200,200,200
10,241,,,,,,Residential,,25,25,25
5,242,,,,,,Residential,,25,25,25
5,5,,,,,,Residential,,50,50,50
3,243,,,,,,Residential,,50,50,50
3,67,,,,,,Residential,,25,25,25
5,244,,,,,,Residential,,20,20,20
5,6,,,,,,Residential,,25,25,25
5,245,,,,,,Residential,,30,30,30
4,23,,,,,,Residential,,30,30,30
5,246,,,,,,Residential,,25,25,25
5,247,,,,,,Residential,,25,25,25
3,44,,,,,,Residential,,250,250,250
5,248,,,,,,Residential,,30,30,30
4,24,,,,,,Residential,,120,120,120
3,58,,,,,,Residential,,220,220,220
5,249,,,,,,Residential,,25,25,25
5,108,,,,,,Residential,,30,30,30
2,32,,,,,,Residential,,30,30,30
5,250,,,,,,Residential,,20,20,20
3,251,,,,,,Residential,,25,25,25
5,7,,,,,,Residential,,30,30,30
5,252,,,,,,Residential,,20,20,20
5,253,,,,,,Residential,,25,25,25
5,254,,,,,,Residential,,25,25,25
5,255,,,,,,Residential,,25,25,25
5,256,,,,,,Residential,,25,25,25
5,257,,,,,,Residential,,25,25,25
5,258,,,,,,Residential,,30,30,30
1,86,,,,,,Residential,,30,30,30
10,259,,,,,,Residential,,25,25,25
3,260,,,,,,Residential,,25,25,25
5,261,,,,,,Residential,,30,30,30
5,101,,,,,,Residential,,50,50,50
5,262,,,,,,Residential,,30,30,30
5,263,,,,,,Residential,,25,25,25
4,63,,,,,,Residential,,100,100,100
5,264,,,,,,Residential,,30,30,30
3,265,,,,,,Residential,,25,25,25
5,266,,,,,,Residential,,30,30,30
5,129,,,,,,Residential,,50,50,50
5,267,,,,,,Residential,,30,30,30
5,268,,,,,,Residential,,25,25,25
5,8,,,,,,Residential,,50,50,50
5,269,,,,,,Residential,,25,25,25
10,270,,,,,,Residential,,25,25,25
9,271,,,,,,Residential,,20,20,20
9,272,,,,,,Residential,,30,30,30
7,273,,,,,,Residential,,20,20,20
3,274,,,,,,Residential,,25,25,25
10,275,,,,,,Residential,,25,25,25
7,276,,,,,,Residential,,25,25,25
6,277,,,,,,Residential,,30,30,30
7,278,,,,,,Residential,,20,20,20
7,279,,,,,,Residential,,20,20,20
4,280,,,,,,Residential,,25,25,25
10,281,,,,,,Residential,,30,30,30
4,45,,,,,,Residential,,25,25,25
2,34,,,,,,Residential,,40,40,40
5,282,,,,,,Residential,,25,25,25
5,9,,,,,,Residential,,30,30,30
8,128,,,,,,Residential,,50,50,50
8,283,,,,,,Residential,,30,30,30
6,284,,,,,,Residential,,25,25,25
10,285,,,,,,Residential,,25,25,25
1,286,,,,,,Residential,,25,25,25
10,287,,,,,,Residential,,25,25,25
7,288,,,,,,Residential,,25,25,25
4,74,,,,,,Residential,,120,120,120
5,113,,,,,,Residential,,30,30,30
1,289,,,,,,Residential,,25,25,25
5,290,,,,,,Residential,,25,25,25
9,291,,,,,,Residential,,25,25,25
7,292,,,,,,Residential,,25,25,25
5,293,,,,,,Residential,,30,30,30
4,294,,,,,,Residential,,30,30,30
4,295,,,,,,Residential,,25,25,25
10,296,,,,,,Residential,,25,25,25
4,46,,,,,,Residential,,120,120,120
5,297,,,,,,Residential,,25,25,25
3,298,,,,,,Residential,,30,30,30
7,299,,,,,,Residential,,30,30,30
8,300,,,,,,Residential,,25,25,25
5,301,,,,,,Residential,,30,30,30
7,302,,,,,,Residential,,30,30,30
7,303,,,,,,Residential,,25,25,25
5,304,,,,,,Residential,,30,30,30
5,305,,,,,,Residential,,30,30,30
5,306,,,,,,Residential,,25,25,25
6,307,,,,,,Residential,,25,25,25
7,308,,,,,,Residential,,30,30,30
5,13,,,,,,Residential,,70,70,70
5,309,,,,,,Residential,,40,40,40
3,310,,,,,,Residential,,25,25,25
7,311,,,,,,Residential,,30,30,30
4,312,,,,,,Residential,,40,40,40
3,313,,,,,,Residential,,30,30,30
3,314,,,,,,Residential,,25,25,25
10,315,,,,,,Residential,,30,30,30
3,316,,,,,,Residential,,30,30,30
5,16,,,,,,Residential,,25,25,25
5,317,,,,,,Residential,,25,25,25
5,318,,,,,,Residential,,30,30,30
5,133,,,,,,Residential,,25,25,25
5,319,,,,,,Residential,,25,25,25
7,320,,,,,,Residential,,25,25,25
3,321,,,,,,Residential,,25,25,25
10,322,,,,,,Residential,,25,25,25
5,323,,,,,,Residential,,30,30,30
5,324,,,,,,Residential,,25,25,25
5,325,,,,,,Residential,,25,25,25
5,326,,,,,,Residential,,15,15,15
7,327,,,,,,Residential,,15,15,15
10,328,,,,,,Residential,,15,15,15
10,329,,,,,,Residential,,15,15,15
10,330,,,,,,Residential,,40,40,40
9,331,,,,,,Residential,,30,30,30
7,332,,,,,,Residential,,30,30,30
7,333,,,,,,Residential,,20,20,20
5,121,,,,,,Residential,,30,30,30
5,334,,,,,,Residential,,20,20,20
10,335,,,,,,Residential,,20,20,20
5,4,,,,,,Residential,,60,60,60
5,11,,,,,,Residential,,40,40,40
5,12,,,,,,Residential,,30,30,30
5,14,,,,,,Residential,,80,80,80
5,15,,,,,,Residential,,40,40,40
5,17,,,,,,Residential,,90,90,90
5,18,,,,,,Residential,,70,70,70
10,336,,,,,,Residential,,50,50,50
9,20,,,,,,Residential,,120,120,120
9,,,,,,,Agricultural,,2,2,2
10,21,,,,,,Residential,,50,50,50
3,26,,,,,,Residential,,80,80,80
6,28,,,,,,Residential,,50,50,50
2,35,,,,,,Residential,,90,90,90
2,36,,,,,,Residential,,370,370,370
1,37,,,,,,Residential,,30,30,30
1,39,,,,,,Residential,,90,90,90
1,41,,,,,,Residential,,80,80,80
3,47,,,,,,Residential,,80,80,80
7,48,,,,,,Agricultural,,2,2,2
10,50,,,,,,Residential,,50,50,50
2,51,,,,,,Residential,,150,150,150
3,53,,,,,,Residential,,270,270,270
3,55,,,,,,Residential,,150,150,150
3,56,,,,,,Residential,,90,90,90
4,57,,,,,,Residential,,90,90,90
3,59,,,,,,Residential,,25,25,25
9,61,,,,,,Residential,,30,30,30
3,62,,,,,,Residential,,40,40,40
1,64,,,,,,Residential,,40,40,40
2,65,,,,,,Residential,,300,300,300
1,68,,,,,,Residential,,40,40,40
1,69,,,,,,Residential,,40,40,40
1,70,,,,,,Residential,,30,30,30
3,71,,,,,,Residential,,30,30,30
3,72,,,,,,Residential,,30,30,30
4,73,,,,,,Residential,,30,30,30
4,75,,,,,,Residential,,30,30,30
3,77,,,,,,Residential,,25,25,25
4,78,,,,,,Residential,,60,60,60
4,79,,,,,,Residential,,25,25,25
3,80,,,,,,Residential,,30,30,30
1,84,,,,,,Residential,,25,25,25
3,85,,,,,,Residential,,25,25,25
5,88,,,,,,Residential,,25,25,25
7,90,,,,,,Residential,,90,90,90
7,93,,,,,,Residential,,50,50,50
6,95,,,,,,Residential,,80,80,80
3,97,,,,,,Residential,,25,25,25
5,98,,,,,,Residential,,70,70,70
7,99,,,,,,Residential,,50,50,50
7,102,,,,,,Agricultural,,2,2,2
8,103,,,,,,Residential,,25,25,25
7,104,,,,,,Residential,,25,25,25
5,105,,,,,,Residential,,25,25,25
5,106,,,,,,Residential,,25,25,25
5,109,,,,,,Residential,,30,30,30
7,111,,,,,,Residential,,25,25,25
5,114,,,,,,Residential,,200,200,200
7,115,,,,,,Agricultural,,5,5,5
5,119,,,,,,Agricultural,,2,2,2
7,337,,,,,,Residential,,25,25,25
5,122,,,,,,Residential,,25,25,25
5,125,,,,,,Residential,,50,50,50
4,126,,,,,,Residential,,25,25,25
5,126,,,,,,Residential,,25,25,25
8,338,,,,,,Residential,,50,50,50
7,130,,,,,,Residential,,25,25,25
5,131,,,,,,Residential,,25,25,25
7,132,,,,,,Residential,,25,25,25
7,31,,,,,,Agricultural,,4,4,4
5,112,,,,,,Residential,,,,
7,134,,,,,,Residential,,25,25,25